RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,UniqueStations,UniqueLocations,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),WorkDay - 00:00-03:59,WorkDay - 04:00-05:59,WorkDay - 06:00-08:59,WorkDay - 09:00-11:59,WorkDay - 12:00-14:59,WorkDay - 15:00-18:59,WorkDay - 19:00-23:59,Friday - 00:00-03:59,Friday - 04:00-05:59,Friday - 06:00-08:59,Friday - 09:00-11:59,Friday - 12:00-14:59,Friday - 15:00-18:59,Friday - 19:00-23:59,Saturday - 00:00-03:59,Saturday - 04:00-05:59,Saturday - 06:00-08:59,Saturday - 09:00-11:59,Saturday - 12:00-14:59,Saturday - 15:00-18:59,Saturday - 19:00-23:59,MaxRidership,year,Q
11901,901,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,2.5,54.65,10.8,8,מעל שנה וחצי,,,4,22,95.1,589.5,26.8,,,,,31.7,0.0,,,,,,33.9,,,,,,,,,,שישי - 12:00-14:59,2022,4
11909,909,1,מטרופולין,שרון חולון מרחבי,מרכז,רמת השרון,רמת השרון,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,71.05,0.5,15,מעל שנה וחצי,9.0,,2,12,6.2,33.8,2.8,,,3.1,,,,,,,1.4,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11909,909,2,מטרופולין,שרון חולון מרחבי,מרכז,רמת השרון,רמת השרון,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,6.2,67.77,0.3,15,מעל שנה וחצי,9.0,,2,11,4.1,23.0,2.1,,,,,1.6,,,,,,2.5,,,,,,,,,,,שישי - 09:00-11:59,2022,4
11931,931,1,סופרבוס,ירושלים מרכז,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,מפרקי,1,15.2,76.13,5.1,27,לפני 12 חודשים,,,1,5,77.8,389.0,77.8,,,60.3,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11933,933,1,סופרבוס,ירושלים מרכז,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,41.94,5.5,19,לפני 12 חודשים,,,1,5,46.0,230.0,46.0,,,25.0,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11943,943,1,אגד תעבורה,עוטף ירושלים,י-ם,ירושלים,בית שאן,בינעירוני,מאסף,סדיר,בינעירוני ממוגן אבן,אוטובוס,1,173.8,2954.33,0.1,48,מעל שנה וחצי,3.0,"נעמי, משכיות, רותם",3,17,39.0,213.0,12.5,,,13.2,,17.2,,7.6,,,,12.2,,,,,,,,,5.8,,ימי חול - 12:00-14:59,2022,4
11943,943,2,אגד תעבורה,עוטף ירושלים,י-ם,בית שאן,ירושלים,בינעירוני,מאסף,סדיר,בינעירוני ממוגן אבן,אוטובוס,1,173.2,2944.25,0.1,49,מעל שנה וחצי,4.0,"רותם, משכיות, נעמי",3,17,42.9,222.3,13.1,,,10.5,,14.3,11.8,,,,7.8,,,,,,,,,,,0.0,ימי חול - 12:00-14:59,2022,4
11950,950,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,מפרקי,1,18.4,92.18,2.6,47,מעל שנה וחצי,,,1,5,47.2,236.0,47.2,,,47.2,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11950,950,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,מפרקי,1,23.3,116.55,2.8,47,מעל שנה וחצי,,,1,5,66.30000000000001,331.50000000000006,66.3,,,,,,41.2,,,,,,,,,,,,,,,,ימי חול - 15:00-18:59,2022,4
11951,951,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,12.3,61.51,4.0,33,מעל שנה וחצי,,,1,5,49.0,245.0,49.0,,,49.0,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11951,951,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,9.4,47.2,6.0,17,מעל שנה וחצי,,,1,5,57.1,285.5,57.1,,,,,,31.8,,,,,,,,,,,,,,,,ימי חול - 15:00-18:59,2022,4
11952,952,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,7.0,34.85,7.9,20,מעל שנה וחצי,,,1,5,55.1,275.5,55.1,,,55.1,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11952,952,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,7.1,35.7,7.4,19,מעל שנה וחצי,,,1,5,53.1,265.5,53.1,,,,,,29.8,,,,,,,,,,,,,,,,ימי חול - 15:00-18:59,2022,4
11953,953,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,15.0,74.77,2.2,21,מעל שנה וחצי,,,1,5,33.2,166.0,33.2,,,33.2,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11953,953,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,15.9,79.39,2.6,25,מעל שנה וחצי,,,1,5,40.8,204.0,40.8,,,,,,24.1,,,,,,,,,,,,,,,,ימי חול - 15:00-18:59,2022,4
11957,957,2,אגד,תל אביב-שרון-חיפה,בין מחוזי,רכסים,בני ברק,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,2,109.6,982.94,0.2,31,לפני 10 חודשים,,,0,9,21.2,227.0,25.2,,,,,53.0,,,,,0.5,20.8,27.4,,,,,,,,,22.2,ימי חול - 12:00-14:59,2022,4
11960,960,1,תנופה,שומרון,מרכז,אריאל,אריאל,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,9.6,115.06,1.1,27,מעל שנה וחצי,,,2,12,23.3,131.9,11.0,,,11.6,,,,,,,7.7,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11961,961,1,תנופה,שומרון,מרכז,אריאל,אריאל,בינעירוני,מאסף,תלמידים,בינעירוני,אוטובוס,1,9.0,108.34,1.0,30,לפני 14 חודשים,,,2,12,18.5,104.4,8.7,,,9.2,,,,,,,6.0,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11961,961,2,תנופה,שומרון,מרכז,אריאל,אריאל,בינעירוני,מאסף,תלמידים,בינעירוני,אוטובוס,1,8.8,96.45,2.8,30,מעל שנה וחצי,,,2,11,48.6,267.4,24.3,,,,,24.3,,,,,,24.4,,,,,,,,,,,שישי - 09:00-11:59,2022,4
11962,962,2,תנופה,שומרון,מרכז,אריאל,אריאל,בינעירוני,מאסף,תלמידים,בינעירוני,אוטובוס,1,7.3,87.61,2.2,22,מעל שנה וחצי,,,2,12,35.1,195.9,16.3,,,,,17.6,,,,,,10.2,,,,,,,,,,,ימי חול - 12:00-14:59,2022,4
11963,963,1,תנופה,שומרון,מרכז,אריאל,אריאל,בינעירוני,מאסף,תלמידים,בינעירוני,אוטובוס,1,5.3,26.68,1.8,15,מעל שנה וחצי,,,1,5,9.5,47.5,9.5,,,9.5,,,,,,,,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11964,964,2,תנופה,שומרון,מרכז,אריאל,אריאל,בינעירוני,מאסף,תלמידים,בינעירוני,אוטובוס,1,11.3,124.76,2.1,31,מעל שנה וחצי,,,2,11,48.4,266.8,24.3,,,,,24.2,,,,,,24.8,,,,,,,,,,,שישי - 09:00-11:59,2022,4
11967,967,1,נתיב אקספרס,הגליל,בין מחוזי,ביתר עילית,צפת,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,234.6,2111.49,0.1,39,מעל שנה וחצי,,,0,9,11.4,189.3,21.0,,,,,,,,,,,23.3,,,,,,,,,,7.8,שישי - 09:00-11:59,2022,4
11967,967,2,נתיב אקספרס,הגליל,בין מחוזי,צפת,ביתר עילית,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,233.0,2096.79,0.1,34,מעל שנה וחצי,,,0,9,17.0,207.5,23.1,,,,,,,,,,4.2,,,,,,,,,,,21.1,שבת - 19:00-23:59,2022,4
11970,970,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,4.6,27.62,8.2,15,מעל שנה וחצי,,,1,6,38.6,226.9,37.8,,,38.6,,,,,,,33.9,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11970,970,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.7,62.72,3.3,19,מעל שנה וחצי,1.0,,2,11,36.2,208.9,19.0,,,,,10.9,25.3,,,,,,27.9,,,,,,,,,,שישי - 12:00-14:59,2022,4
11971,971,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,11.6,69.35,2.7,30,מעל שנה וחצי,,,1,6,32.1,188.9,31.5,,,32.1,,,,,,,28.4,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11971,971,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,10.3,10.3,3.4,22,מעל שנה וחצי,,,0,1,0.0,35.5,35.5,,,,,,,,,,,,32.0,,,,,,,,,,שישי - 12:00-14:59,2022,4
11972,972,1,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,4.3,25.84,1.1,11,מעל שנה וחצי,,,1,6,5.1,29.2,4.9,,,5.1,,,,,,,3.7,,,,,,,,,,,,ימי חול - 06:00-08:59,2022,4
11972,972,2,אגד,ירושלים עירוני,י-ם,ירושלים,ירושלים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,6.3,6.3,1.3,14,מעל שנה וחצי,,,0,1,0.0,8.0,8.0,,,,,,,,,,,,7.0,,,,,,,,,,שישי - 12:00-14:59,2022,4
11988,988,1,אגד,תל אביב-שרון-חיפה,בין מחוזי,בני ברק,קרית אתא,בינעירוני,ישיר,סדיר,בינעירוני,אוטובוס,1,115.2,691.42,0.3,48,מעל שנה וחצי,,,0,6,3.0,212.0,35.3,,,,,,,,,,,39.0,36.6,,,,,,,,,28.2,שישי - 09:00-11:59,2022,4
